"DATE","TIME PERIOD","Bank interest rates - loans to households for house purchase APRC (new business) - Germany (MIR.M.DE.B.A2C.A.C.A.2250.EUR.N)"
"2017-09-30","2017Sep","1.9200"
"2017-10-31","2017Oct","1.9000"
"2017-11-30","2017Nov","1.9000"
"2017-12-31","2017Dec","1.8600"
"2018-01-31","2018Jan","1.8800"
"2018-02-28","2018Feb","1.9000"
"2018-03-31","2018Mar","1.9400"
"2018-04-30","2018Apr","1.9400"
"2018-05-31","2018May","1.9600"
"2018-06-30","2018Jun","1.9500"
"2018-07-31","2018Jul","1.9400"
"2018-08-31","2018Aug","1.9300"
"2018-09-30","2018Sep","1.9200"
"2018-10-31","2018Oct","1.9100"
"2018-11-30","2018Nov","1.9400"
"2018-12-31","2018Dec","1.9000"
"2019-01-31","2019Jan","1.9200"
"2019-02-28","2019Feb","1.8400"
"2019-03-31","2019Mar","1.8000"
"2019-04-30","2019Apr","1.7200"
"2019-05-31","2019May","1.6800"
"2019-06-30","2019Jun","1.6300"
"2019-07-31","2019Jul","1.5400"
"2019-08-31","2019Aug","1.4300"
"2019-09-30","2019Sep","1.3400"
"2019-10-31","2019Oct","1.3100"
"2019-11-30","2019Nov","1.3100"
"2019-12-31","2019Dec","1.3400"
"2020-01-31","2020Jan","1.3900"
"2020-02-29","2020Feb","1.3300"
"2020-03-31","2020Mar","1.2700"
"2020-04-30","2020Apr","1.2900"
"2020-05-31","2020May","1.3700"
"2020-06-30","2020Jun","1.3800"
"2020-07-31","2020Jul","1.3200"
"2020-08-31","2020Aug","1.2800"
"2020-09-30","2020Sep","1.2600"
"2020-10-31","2020Oct","1.2400"
"2020-11-30","2020Nov","1.2200"
"2020-12-31","2020Dec","1.2100"
"2021-01-31","2021Jan","1.2300"
"2021-02-28","2021Feb","1.2200"
"2021-03-31","2021Mar","1.2200"
"2021-04-30","2021Apr","1.2700"
"2021-05-31","2021May","1.3100"
"2021-06-30","2021Jun","1.3400"
"2021-07-31","2021Jul","1.3600"
"2021-08-31","2021Aug","1.3100"
"2021-09-30","2021Sep","1.3100"
"2021-10-31","2021Oct","1.3200"
"2021-11-30","2021Nov","1.3600"
"2021-12-31","2021Dec","1.3700"
"2022-01-31","2022Jan","1.3900"
"2022-02-28","2022Feb","1.4900"
"2022-03-31","2022Mar","1.6900"
"2022-04-30","2022Apr","1.9800"
"2022-05-31","2022May","2.2900"
"2022-06-30","2022Jun","2.6200"
"2022-07-31","2022Jul","2.8500"
"2022-08-31","2022Aug","2.8900"
"2022-09-30","2022Sep","3.0800"
"2022-10-31","2022Oct","3.3100"
"2022-11-30","2022Nov","3.6700"
"2022-12-31","2022Dec","3.6000"
"2023-01-31","2023Jan","3.7300"
"2023-02-28","2023Feb","3.8500"
"2023-03-31","2023Mar","3.9500"
"2023-04-30","2023Apr","3.9800"
"2023-05-31","2023May","3.9900"
"2023-06-30","2023Jun","4.1200"
"2023-07-31","2023Jul","4.0800"
"2023-08-31","2023Aug","4.1900"
"2023-09-30","2023Sep","4.1700"
"2023-10-31","2023Oct","4.2200"
"2023-11-30","2023Nov","4.2700"
"2023-12-31","2023Dec","4.1200"
"2024-01-31","2024Jan","3.9000"
"2024-02-29","2024Feb","3.9200"
"2024-03-31","2024Mar","3.8800"
"2024-04-30","2024Apr","3.9100"
"2024-05-31","2024May","3.9600"
"2024-06-30","2024Jun","3.9900"
"2024-07-31","2024Jul","3.9700"
"2024-08-31","2024Aug","3.8700"
"2024-09-30","2024Sep","3.7800"
"2024-10-31","2024Oct","3.6900"
"2024-11-30","2024Nov","3.6500"
"2024-12-31","2024Dec","3.5900"
"2025-01-31","2025Jan","3.5600"
"2025-02-28","2025Feb","3.6300"
"2025-03-31","2025Mar","3.6400"
