month,loan_rate,mro_rate
2022-05-01,2.29,0
2022-06-01,2.62,0
2022-07-01,2.85,0.5
2022-08-01,2.89,0.5
2022-09-01,3.08,1.25
2022-10-01,3.31,1.25
2022-11-01,3.67,2
2022-12-01,3.6,2.5
2023-01-01,3.73,2.5
2023-02-01,3.85,3
2023-03-01,3.95,3.5
2023-04-01,3.98,3.5
2023-05-01,3.99,3.75
2023-06-01,4.12,4
2023-07-01,4.08,4
2023-08-01,4.19,4.25
2023-09-01,4.17,4.5
2023-10-01,4.22,4.5
2023-11-01,4.27,4.5
2023-12-01,4.12,4.5
2024-01-01,3.9,4.5
2024-02-01,3.92,4.5
2024-03-01,3.88,4.5
2024-04-01,3.91,4.5
2024-05-01,3.96,4.5
2024-06-01,3.99,4.25
2024-07-01,3.97,4.25
2024-08-01,3.87,4.25
2024-09-01,3.78,3.65
2024-10-01,3.69,3.4
2024-11-01,3.65,3.4
2024-12-01,3.59,3.15
2025-01-01,3.56,3.15
2025-02-01,3.63,2.9
2025-03-01,3.64,2.65
