"","month","loan_rate"
"229",2022-01-01,1.39
"230",2022-02-01,1.49
"231",2022-03-01,1.69
"232",2022-04-01,1.98
"233",2022-05-01,2.29
"234",2022-06-01,2.62
"235",2022-07-01,2.85
"236",2022-08-01,2.89
"237",2022-09-01,3.08
"238",2022-10-01,3.31
"239",2022-11-01,3.67
"240",2022-12-01,3.6
"241",2023-01-01,3.73
"242",2023-02-01,3.85
"243",2023-03-01,3.95
"244",2023-04-01,3.98
"245",2023-05-01,3.99
"246",2023-06-01,4.12
"247",2023-07-01,4.08
"248",2023-08-01,4.19
"249",2023-09-01,4.17
"250",2023-10-01,4.22
"251",2023-11-01,4.27
"252",2023-12-01,4.12
"253",2024-01-01,3.9
"254",2024-02-01,3.92
"255",2024-03-01,3.88
"256",2024-04-01,3.91
"257",2024-05-01,3.96
"258",2024-06-01,3.99
"259",2024-07-01,3.97
"260",2024-08-01,3.87
"261",2024-09-01,3.78
"262",2024-10-01,3.69
"263",2024-11-01,3.65
"264",2024-12-01,3.59
"265",2025-01-01,3.56
"266",2025-02-01,3.63
"267",2025-03-01,3.64
